Timestamp,USN,Relational Algebra: Authenticity verification Link(bottom of Accomplishment certificate) ,Or SQL: Authenticity verification Link(bottom of Accomplishment certificate)
2/17/2019 21:42:37,2GI17CS142,https://verify.lagunita.stanford.edu/SOA/ec20664a89104964b5b8be47269a6bd7,https://prod-cert-bucket.s3.amazonaws.com/downloads/d2c7e78d5cfa4f47b4e96be9ff2a11dc/Statement.pdf
4/21/2019 12:16:15,2GI17CS146,,https://verify.lagunita.stanford.edu/SOA/20aaa0ab8abc4e868388e617776875b2/
4/18/2019 22:11:09,2GI17CS130,https://verify.lagunita.stanford.edu/SOA/8fa42ddf1ca84c90bf6c0597b1924a91,https://verify.lagunita.stanford.edu/SOA/2157c75c6f9346e8beec427d25e9647f
4/23/2019 13:54:14,2GI17CS131,,https://verify.lagunita.stanford.edu/SOA/0e240ba4939b451e8ececc77329c8df7
4/19/2019 21:39:02,2gi17cs123,,https://prod-cert-bucket.s3.amazonaws.com/downloads/7c2a2958f6a0450999aa9e536dd1b058/Statement.pdf
4/20/2019 17:35:26,2GI17CS173,https://verify.lagunita.stanford.edu/SOA/dde1fd1907eb423b916cc73a5678e52a, https://verify.lagunita.stanford.edu/SOA/e538135f011b41b2a8468b6a88ea021b
4/20/2019 19:30:36,2GI17CS170,https://verify.lagunita.stanford.edu/SOA/e1473cd535364d25a86a963f78bd26ee,
4/20/2019 21:02:00,2GI17CS167,,https://verify.lagunita.stanford.edu/SOA/f17aa8dc9ab04de69da75a8451c62bcb
4/21/2019 11:48:54,2GI17CS166,,https://verify.lagunita.stanford.edu/SOA/24fcc4e068b14a8797e6e56b6221878c
4/21/2019 17:31:38,2GI17CS153,https://verify.lagunita.stanford.edu/SOA/3d78df4f6fbd443ab00772cd47f8e230/,https://verify.lagunita.stanford.edu/SOA/8b3274bfcc0e4c1993f0e414528bc619/
4/21/2019 18:46:49,2GI17CS151, , https://verify.lagunita.stanford.edu/SOA/ad3ef1a8dde341b881d309bf83996820
4/21/2019 19:14:20,2GI17CS133,,https://verify.lagunita.stanford.edu/SOA/976ed28c6af048ceb2b00bbbd205c2f0
4/21/2019 20:37:19,GI17CS164,, https://verify.lagunita.stanford.edu/SOA/5c57b223f9cd4278bed8314c21205497
4/21/2019 22:12:08,2GI17CS160,,https://lagunita.stanford.edu/courses/DB/SQL/SelfPaced/jump_to/i4x://DB/SQL/sequential/b8a29963a1b0423b86d98cc874f91a72
4/21/2019 22:27:41,2GI17CS144,,https://verify.lagunita.stanford.edu/SOA/1da96d7d854644cfb693ddec0dff81ae/
4/21/2019 22:52:53,2GI17CS168,,https://verify.lagunita.stanford.edu/SOA/9c360d5265184277bbd90c4f46938097/
4/22/2019 0:21:58,2GI17CS171,, https://verify.lagunita.stanford.edu/SOA/e8c323e030ee4410b7e715feff22747e
4/22/2019 3:59:38,2GI17CS157,,https://verify.lagunita.stanford.edu/SOA/509016cebc494c4cbc5ccc68be4e626d/
4/22/2019 11:58:19,2GI17CS129,,https://verify.lagunita.stanford.edu/SOA/8c67bd4b8ac045528d9d4d6a6496a2dc/
4/22/2019 14:11:48,2GI17CS118,,https://verify.lagunita.stanford.edu/SOA/138f0c605edf46fdb20e248051d9b47a
4/22/2019 15:23:51,2GI17CS185 ,,https://verify.lagunita.stanford.edu/SOA/bf103ed60ad340d0ac0d2eaeb73a9d28
4/22/2019 22:39:28,2GI17CS174,,https://verify.lagunita.stanford.edu/SOA/117c9faca1f642e097cbd31644a072ac
4/22/2019 20:23:11,2GI17CS143,,https://verify.lagunita.stanford.edu/SOA/8efbbdbad51142a2b5474c1f87dbd6ee/
4/22/2019 20:48:16,2GI17CS132,, https://verify.lagunita.stanford.edu/SOA/006224f1ef144802b5d9d48586976be4
4/22/2019 23:33:11,2GI17CS172,,https://verify.lagunita.stanford.edu/SOA/5efdb1c53b954406b08703169791d6e1/
4/23/2019 1:07:30,2GI17CS134,https://verify.lagunita.stanford.edu/SOA/0bddd7f8f4674034bee4d0aaa2523719/,
4/23/2019 1:32:33,2GI17CS145,,https://prod-cert-bucket.s3.amazonaws.com/downloads/670ad6d83a634a478bd59cf6656776a6/Statement.pdf
4/23/2019 16:00:19,2GI17CS126,,https://prod-cert-bucket.s3.amazonaws.com/downloads/ab3978ee78cb40fead4f4bed10375699/Statement.pdf
